keyword,searches,results,search_result_ratio,source_type,source_id,captured_at,confidence,notes
wedding decor,78300,1900000,0.04121052632,youtube_screenshot,screenshot_225135,2026-05-23 22:51:36,high,broad seed only; validate in eRank and EverBee
baby blanket,78000,236000,0.3305084746,youtube_screenshot,screenshot_225135,2026-05-23 22:51:36,high,broad seed only; validate in eRank and EverBee
personalized jewelry,74900,466300,0.1606262063,youtube_screenshot,screenshot_225129,2026-05-23 22:51:29,high,broad seed only; validate in eRank and EverBee
gift for mom,74800,2000000,0.0374,youtube_screenshot,screenshot_225129,2026-05-23 22:51:29,high,broad seed only; validate in eRank and EverBee
poster,74300,3600000,0.02063888889,youtube_screenshot,screenshot_225129,2026-05-23 22:51:29,high,broad seed only; validate in eRank and EverBee
engagement gifts,72600,1600000,0.045375,youtube_screenshot,screenshot_225129,2026-05-23 22:51:29,high,broad seed only; validate in eRank and EverBee
bag charm,71700,298300,0.2403620516,youtube_screenshot,screenshot_225129,2026-05-23 22:51:29,high,broad seed only; validate in eRank and EverBee
bracelet,69600,2400000,0.029,youtube_screenshot,screenshot_225129,2026-05-23 22:51:29,high,broad seed only; validate in eRank and EverBee
graduation lei,69600,11200,6.214285714,youtube_screenshot,screenshot_225129,2026-05-23 22:51:29,high,broad seed only; validate in eRank and EverBee
embroidery,69300,1900000,0.03647368421,youtube_screenshot,screenshot_225129,2026-05-23 22:51:29,high,broad seed only; validate in eRank and EverBee
gifts for mom,68800,3800000,0.01810526316,youtube_screenshot,screenshot_225129,2026-05-23 22:51:29,high,broad seed only; validate in eRank and EverBee
baby announcement,68000,440900,0.1542299841,youtube_screenshot,screenshot_225129,2026-05-23 22:51:29,high,broad seed only; validate in eRank and EverBee
rug,67200,1400000,0.048,youtube_screenshot,screenshot_225129,2026-05-23 22:51:29,high,broad seed only; validate in eRank and EverBee
gift,66400,13000000,0.005107692308,youtube_screenshot,screenshot_225124,2026-05-23 22:51:25,high,broad seed only; validate in eRank and EverBee
groomsmen gifts,66200,202100,0.3275606136,youtube_screenshot,screenshot_225124,2026-05-23 22:51:25,high,broad seed only; validate in eRank and EverBee
pregnancy announcement,65800,268100,0.2454308094,youtube_screenshot,screenshot_225124,2026-05-23 22:51:25,high,broad seed only; validate in eRank and EverBee
digital,65600,11500000,0.005704347826,youtube_screenshot,screenshot_225124,2026-05-23 22:51:25,high,broad seed only; validate in eRank and EverBee
garden decor,64700,1900000,0.03405263158,youtube_screenshot,screenshot_225124,2026-05-23 22:51:25,high,broad seed only; validate in eRank and EverBee
gift for him,64300,927400,0.06933362088,youtube_screenshot,screenshot_225124,2026-05-23 22:51:25,high,broad seed only; validate in eRank and EverBee
sticker,63800,3300000,0.01933333333,youtube_screenshot,screenshot_225124,2026-05-23 22:51:25,high,broad seed only; validate in eRank and EverBee
tote bag,63800,786700,0.08109825855,youtube_screenshot,screenshot_225124,2026-05-23 22:51:25,high,broad seed only; validate in eRank and EverBee
wedding invitation,61700,349500,0.1765379113,youtube_screenshot,screenshot_225124,2026-05-23 22:51:25,high,broad seed only; validate in eRank and EverBee
gifts for him,61100,1800000,0.03394444444,youtube_screenshot,screenshot_225124,2026-05-23 22:51:25,high,broad seed only; validate in eRank and EverBee
engagement gift,59800,1300000,0.046,youtube_screenshot,screenshot_225124,2026-05-23 22:51:25,high,broad seed only; validate in eRank and EverBee
pinky ring,59200,270100,0.2191780822,youtube_screenshot,screenshot_225116,2026-05-23 22:51:17,high,broad seed only; validate in eRank and EverBee
hoop earrings,58700,300400,0.1954061252,youtube_screenshot,screenshot_225116,2026-05-23 22:51:17,high,broad seed only; validate in eRank and EverBee
gold ring,57300,1500000,0.0382,youtube_screenshot,screenshot_225116,2026-05-23 22:51:17,high,broad seed only; validate in eRank and EverBee
wedding invitations,56600,498600,0.11351785,youtube_screenshot,screenshot_225116,2026-05-23 22:51:17,high,broad seed only; validate in eRank and EverBee
gift for her,56500,2300000,0.02456521739,youtube_screenshot,screenshot_225116,2026-05-23 22:51:17,high,broad seed only; validate in eRank and EverBee
metal wall art,56100,517200,0.1084686775,youtube_screenshot,screenshot_225116,2026-05-23 22:51:17,high,broad seed only; validate in eRank and EverBee
wedding band,55700,767500,0.0725732899,youtube_screenshot,screenshot_225116,2026-05-23 22:51:17,high,broad seed only; validate in eRank and EverBee
cross stitch patterns,55000,741500,0.07417397168,youtube_screenshot,screenshot_225116,2026-05-23 22:51:17,high,broad seed only; validate in eRank and EverBee
ita bag,54800,11100,4.936936937,youtube_screenshot,screenshot_225116,2026-05-23 22:51:17,high,broad seed only; validate in eRank and EverBee
personalized gifts,53900,8200000,0.006573170732,youtube_screenshot,screenshot_225116,2026-05-23 22:51:17,high,broad seed only; validate in eRank and EverBee
bag charms,52500,323100,0.1624883937,youtube_screenshot,screenshot_225116,2026-05-23 22:51:17,high,broad seed only; validate in eRank and EverBee
signet ring,52500,128100,0.4098360656,youtube_screenshot,screenshot_225112,2026-05-23 22:51:13,high,broad seed only; validate in eRank and EverBee
needlepoint canvas,52100,306700,0.1698728399,youtube_screenshot,screenshot_225112,2026-05-23 22:51:13,high,broad seed only; validate in eRank and EverBee
silver earrings,51700,1600000,0.0323125,youtube_screenshot,screenshot_225112,2026-05-23 22:51:13,high,broad seed only; validate in eRank and EverBee
anniversary gift,51500,3300000,0.01560606061,youtube_screenshot,screenshot_225112,2026-05-23 22:51:13,high,broad seed only; validate in eRank and EverBee
wedding veil,51400,95600,0.5376569038,youtube_screenshot,screenshot_225112,2026-05-23 22:51:13,high,broad seed only; validate in eRank and EverBee
cross stitch pattern,51300,704700,0.07279693487,youtube_screenshot,screenshot_225112,2026-05-23 22:51:13,high,broad seed only; validate in eRank and EverBee
bookmark,51300,466800,0.1098971722,youtube_screenshot,screenshot_225112,2026-05-23 22:51:13,high,broad seed only; validate in eRank and EverBee
graduation stole,51300,21500,2.386046512,youtube_screenshot,screenshot_225112,2026-05-23 22:51:13,high,broad seed only; validate in eRank and EverBee
gifts for her,51200,5700000,0.00898245614,youtube_screenshot,screenshot_225112,2026-05-23 22:51:13,high,broad seed only; validate in eRank and EverBee
wedding guest book,51000,54000,0.9444444444,youtube_screenshot,screenshot_225112,2026-05-23 22:51:13,high,broad seed only; validate in eRank and EverBee
wedding cake topper,50800,123700,0.4106709782,youtube_screenshot,screenshot_225112,2026-05-23 22:51:13,high,broad seed only; validate in eRank and EverBee
client gift,50800,1100,46.18181818,youtube_screenshot,screenshot_225105,2026-05-23 22:51:06,medium,very high ratio; verify result count before relying on exact value
mug,50500,1800000,0.02805555556,youtube_screenshot,screenshot_225105,2026-05-23 22:51:06,high,broad seed only; validate in eRank and EverBee
vintage jewelry,49700,3700000,0.01343243243,youtube_screenshot,screenshot_225105,2026-05-23 22:51:06,high,broad seed only; validate in eRank and EverBee
baby shower gift,49500,1100000,0.045,youtube_screenshot,screenshot_225105,2026-05-23 22:51:06,high,broad seed only; validate in eRank and EverBee
sewing pattern,49100,2700000,0.01818518519,youtube_screenshot,screenshot_225105,2026-05-23 22:51:06,high,broad seed only; validate in eRank and EverBee
gold earrings,48400,1400000,0.03457142857,youtube_screenshot,screenshot_225105,2026-05-23 22:51:06,high,broad seed only; validate in eRank and EverBee
candles,48400,958500,0.05049556599,youtube_screenshot,screenshot_225105,2026-05-23 22:51:06,high,broad seed only; validate in eRank and EverBee
handmade,47700,11200000,0.004258928571,youtube_screenshot,screenshot_225105,2026-05-23 22:51:06,high,broad seed only; validate in eRank and EverBee
gifts for men,47500,9400000,0.005053191489,youtube_screenshot,screenshot_225105,2026-05-23 22:51:06,high,broad seed only; validate in eRank and EverBee
graduation decor,47400,496800,0.09541062802,youtube_screenshot,screenshot_225105,2026-05-23 22:51:06,high,broad seed only; validate in eRank and EverBee
stud earrings,47000,816200,0.05758392551,youtube_screenshot,screenshot_225105,2026-05-23 22:51:06,high,broad seed only; validate in eRank and EverBee
pearl earrings,46700,294100,0.1587895274,youtube_screenshot,screenshot_225059,2026-05-23 22:51:00,high,broad seed only; validate in eRank and EverBee
bridal shower gifts,46600,658400,0.07077764277,youtube_screenshot,screenshot_225059,2026-05-23 22:51:00,high,broad seed only; validate in eRank and EverBee
anniversary gift for him,46600,474400,0.09822934233,youtube_screenshot,screenshot_225059,2026-05-23 22:51:00,high,broad seed only; validate in eRank and EverBee
drinkware,45900,136500,0.3362637363,youtube_screenshot,screenshot_225059,2026-05-23 22:51:00,high,broad seed only; validate in eRank and EverBee
tapestry,45600,536200,0.08504289444,youtube_screenshot,screenshot_225059,2026-05-23 22:51:00,high,broad seed only; validate in eRank and EverBee
pet memorial,45500,804800,0.05653578529,youtube_screenshot,screenshot_225059,2026-05-23 22:51:00,high,broad seed only; validate in eRank and EverBee
ceramic mug,45200,1200000,0.03766666667,youtube_screenshot,screenshot_225059,2026-05-23 22:51:00,high,broad seed only; validate in eRank and EverBee
housewarming gift,44700,1100000,0.04063636364,youtube_screenshot,screenshot_225059,2026-05-23 22:51:00,high,broad seed only; validate in eRank and EverBee
hat,44500,1400000,0.03178571429,youtube_screenshot,screenshot_225059,2026-05-23 22:51:00,high,broad seed only; validate in eRank and EverBee
keychains,44400,1200000,0.037,youtube_screenshot,screenshot_225059,2026-05-23 22:51:00,high,broad seed only; validate in eRank and EverBee
wedding card,43700,578400,0.07555325035,youtube_screenshot,screenshot_225059,2026-05-23 22:51:00,high,broad seed only; validate in eRank and EverBee
initial necklace,43600,178800,0.2438478747,youtube_screenshot,screenshot_225059,2026-05-23 22:51:00,medium,bottom row partly cut off; verify exact value if important
bridal shower,22600,912100,0.02477798487,youtube_screenshot,screenshot_224925,2026-05-23 22:49:26,high,broad seed only; validate in eRank and EverBee
vintage decor,22500,8000000,0.0028125,youtube_screenshot,screenshot_224925,2026-05-23 22:49:26,high,broad seed only; validate in eRank and EverBee
bedroom wall art,22500,4300000,0.00523255814,youtube_screenshot,screenshot_224925,2026-05-23 22:49:26,high,broad seed only; validate in eRank and EverBee
baby clothes,22500,447900,0.05023442733,youtube_screenshot,screenshot_224925,2026-05-23 22:49:26,high,broad seed only; validate in eRank and EverBee
badge holder,22400,239500,0.09352818372,youtube_screenshot,screenshot_224925,2026-05-23 22:49:26,high,broad seed only; validate in eRank and EverBee
birthstone bracelet,22400,208500,0.1074340528,youtube_screenshot,screenshot_224925,2026-05-23 22:49:26,high,broad seed only; validate in eRank and EverBee
business cards,22400,192400,0.1164241164,youtube_screenshot,screenshot_224925,2026-05-23 22:49:26,high,broad seed only; validate in eRank and EverBee
antique jewelry,22300,868300,0.02568236785,youtube_screenshot,screenshot_224925,2026-05-23 22:49:26,high,broad seed only; validate in eRank and EverBee
abstract wall art,22200,1800000,0.01233333333,youtube_screenshot,screenshot_224925,2026-05-23 22:49:26,high,broad seed only; validate in eRank and EverBee
wood wall art,22100,1500000,0.01473333333,youtube_screenshot,screenshot_224925,2026-05-23 22:49:26,high,broad seed only; validate in eRank and EverBee
gift for dad,22100,896500,0.0246514222,youtube_screenshot,screenshot_224925,2026-05-23 22:49:26,high,broad seed only; validate in eRank and EverBee
bridal shower games,22100,168100,0.1314693635,youtube_screenshot,screenshot_224919,2026-05-23 22:49:20,high,broad seed only; validate in eRank and EverBee
personalized wedding gifts,21800,2300000,0.00947826087,youtube_screenshot,screenshot_224919,2026-05-23 22:49:20,high,broad seed only; validate in eRank and EverBee
grandma sweatshirt,21800,68100,0.3201174743,youtube_screenshot,screenshot_224919,2026-05-23 22:49:20,high,broad seed only; validate in eRank and EverBee
gifts for boyfriend,21600,423900,0.05095541401,youtube_screenshot,screenshot_224919,2026-05-23 22:49:20,high,broad seed only; validate in eRank and EverBee
embroidered patch,21500,292600,0.07347915243,youtube_screenshot,screenshot_224919,2026-05-23 22:49:20,high,broad seed only; validate in eRank and EverBee
stackable rings,21400,500100,0.04279144171,youtube_screenshot,screenshot_224919,2026-05-23 22:49:20,high,broad seed only; validate in eRank and EverBee
new dad gift,21400,111600,0.1917562724,youtube_screenshot,screenshot_224919,2026-05-23 22:49:20,high,broad seed only; validate in eRank and EverBee
graduation party favors,21400,82500,0.2593939394,youtube_screenshot,screenshot_224919,2026-05-23 22:49:20,high,broad seed only; validate in eRank and EverBee
gifts for husband,21300,284700,0.07481559536,youtube_screenshot,screenshot_224919,2026-05-23 22:49:20,high,broad seed only; validate in eRank and EverBee
nursery wall art,21100,1400000,0.01507142857,youtube_screenshot,screenshot_224919,2026-05-23 22:49:20,high,broad seed only; validate in eRank and EverBee
toe ring,21000,12200,1.721311475,youtube_screenshot,screenshot_224919,2026-05-23 22:49:20,high,broad seed only; validate in eRank and EverBee
personalized name necklace,14000,129000,0.1085271318,youtube_screenshot,screenshot_224531,2026-05-23 22:45:31,high,broad seed only; validate in eRank and EverBee
tennis bracelet,14000,72400,0.1933701657,youtube_screenshot,screenshot_224531,2026-05-23 22:45:31,high,broad seed only; validate in eRank and EverBee
personalized baby gift,13900,1200000,0.01158333333,youtube_screenshot,screenshot_224531,2026-05-23 22:45:31,high,broad seed only; validate in eRank and EverBee
gifts for book lovers,13900,258700,0.05373018941,youtube_screenshot,screenshot_224531,2026-05-23 22:45:31,high,broad seed only; validate in eRank and EverBee
grandma shirt,13900,258100,0.05385509492,youtube_screenshot,screenshot_224531,2026-05-23 22:45:31,high,broad seed only; validate in eRank and EverBee
pendant necklace,13800,3400000,0.004058823529,youtube_screenshot,screenshot_224531,2026-05-23 22:45:31,high,broad seed only; validate in eRank and EverBee
boho jewelry,13800,2900000,0.00475862069,youtube_screenshot,screenshot_224531,2026-05-23 22:45:31,high,broad seed only; validate in eRank and EverBee
wood art,13800,2000000,0.0069,youtube_screenshot,screenshot_224531,2026-05-23 22:45:31,high,broad seed only; validate in eRank and EverBee
card holder,13800,368300,0.03746945425,youtube_screenshot,screenshot_224531,2026-05-23 22:45:31,high,broad seed only; validate in eRank and EverBee
wedding signage,13800,192300,0.07176287051,youtube_screenshot,screenshot_224531,2026-05-23 22:45:31,high,broad seed only; validate in eRank and EverBee
living room rug,13700,1200000,0.01141666667,youtube_screenshot,screenshot_224531,2026-05-23 22:45:31,high,broad seed only; validate in eRank and EverBee
